symptom,factor_group,factor
Abdominal pain,Pain is,Burning
Abdominal pain,Pain is,Crampy
Abdominal pain,Pain is,Dull
Abdominal pain,Pain is,Gnawing
Abdominal pain,Pain is,Intense
Abdominal pain,Pain is,Intermittent or episodic
Abdominal pain,Pain is,Ongoing (chronic)
Abdominal pain,Pain is,Sharp
Abdominal pain,Pain is,Steady
Abdominal pain,Pain is,Sudden (acute)
Abdominal pain,Pain is,Worsening or progressing
Abdominal pain,Pain located in,Abdomen but radiates to other parts of the body
Abdominal pain,Pain located in,Lower abdomen
Abdominal pain,Pain located in,Middle abdomen
Abdominal pain,Pain located in,One or both sides
Abdominal pain,Pain located in,Upper abdomen
Abdominal pain,Triggered or worsened by,Coughing or other jarring movements
Abdominal pain,Triggered or worsened by,Drinking alcohol
Abdominal pain,Triggered or worsened by,Eating certain foods
Abdominal pain,Triggered or worsened by,Menstrual cycle
Abdominal pain,Triggered or worsened by,Stress
Abdominal pain,Relieved by,Antacids
Abdominal pain,Relieved by,Avoiding certain foods
Abdominal pain,Relieved by,Changing position
Abdominal pain,Relieved by,Drinking more water
Abdominal pain,Relieved by,Eating certain foods
Abdominal pain,Relieved by,Eating more fiber
Abdominal pain,Accompanied by,Abdominal swelling
Abdominal pain,Accompanied by,Black or bloody stools
Abdominal pain,Accompanied by,Constipation
Abdominal pain,Accompanied by,Diarrhea
Abdominal pain,Accompanied by,Fever
Abdominal pain,Accompanied by,Inability to move bowels in spite of urge
Abdominal pain,Accompanied by,"Loose, watery stools"
Abdominal pain,Accompanied by,Nausea or vomiting
Abdominal pain,Accompanied by,Passing gas
Abdominal pain,Accompanied by,Pulsing sensation near the navel
Abdominal pain,Accompanied by,Rash
Abdominal pain,Accompanied by,Stomach growling or rumbling
Abdominal pain,Accompanied by,Unintended weight loss
Abdominal pain,Accompanied by,Urgent need to have a bowel movement
Blood in stool,Blood appears,In or on the stool
Blood in stool,Blood appears,In toilet bowl or on toilet tissue
Blood in stool,Triggered or worsened by,Drinking alcohol or caffeine
Blood in stool,Triggered or worsened by,Eating certain foods
Blood in stool,Triggered or worsened by,Straining during bowel movements
Blood in stool,Relieved by,Drinking more water
Blood in stool,Relieved by,Eating certain foods
Blood in stool,Relieved by,Eating more fiber
Blood in stool,Accompanied by,Abdominal pain or cramping
Blood in stool,Accompanied by,Anal itching
Blood in stool,Accompanied by,Change in bowel habits that lasts longer than four weeks
Blood in stool,Accompanied by,Change in your bowel habits
Blood in stool,Accompanied by,Constipation
Blood in stool,Accompanied by,Diarrhea
Blood in stool,Accompanied by,Fatigue or weakness
Blood in stool,Accompanied by,Fever
Blood in stool,Accompanied by,Frequent urge to have bowel movement
Blood in stool,Accompanied by,Narrow stools
Blood in stool,Accompanied by,Nausea or vomiting
Blood in stool,Accompanied by,Painful bowel movements
Blood in stool,Accompanied by,"Persistent abdominal discomfort, such as cramps, gas or pain"
Blood in stool,Accompanied by,Rectal pain
Blood in stool,Accompanied by,Unintended weight loss
Chest pain,Pain best described as,Achy or gnawing
Chest pain,Pain best described as,Burning
Chest pain,Pain best described as,Severe
