symptom,factor_group,factor
Abdominal pain in adults,Pain is,Burning
Abdominal pain in adults,Pain is,Crampy
Abdominal pain in adults,Pain is,Dull
Abdominal pain in adults,Pain is,Gnawing
Abdominal pain in adults,Pain is,Intense
Abdominal pain in adults,Pain is,Intermittent or episodic
Abdominal pain in adults,Pain is,Ongoing (chronic)
Abdominal pain in adults,Pain is,Sharp
Abdominal pain in adults,Pain is,Steady
Abdominal pain in adults,Pain is,Sudden (acute)
Abdominal pain in adults,Pain is,Worsening or progressing
Abdominal pain in adults,Pain located in,Abdomen but radiates to other parts of the body
Abdominal pain in adults,Pain located in,Lower abdomen
Abdominal pain in adults,Pain located in,Middle abdomen
Abdominal pain in adults,Pain located in,One or both sides
Abdominal pain in adults,Pain located in,Upper abdomen
Abdominal pain in adults,Triggered or worsened by,Coughing or other jarring movements
Abdominal pain in adults,Triggered or worsened by,Drinking alcohol
Abdominal pain in adults,Triggered or worsened by,Eating certain foods
Abdominal pain in adults,Triggered or worsened by,Menstrual cycle
Abdominal pain in adults,Triggered or worsened by,Stress
Abdominal pain in adults,Relieved by,Antacids
Abdominal pain in adults,Relieved by,Avoiding certain foods
Abdominal pain in adults,Relieved by,Changing position
Abdominal pain in adults,Relieved by,Drinking more water
Abdominal pain in adults,Relieved by,Eating certain foods
Abdominal pain in adults,Relieved by,Eating more fiber
Abdominal pain in adults,Accompanied by,Abdominal swelling
Abdominal pain in adults,Accompanied by,Black or bloody stools
Abdominal pain in adults,Accompanied by,Constipation
Abdominal pain in adults,Accompanied by,Diarrhea
Abdominal pain in adults,Accompanied by,Fever
Abdominal pain in adults,Accompanied by,Inability to move bowels in spite of urge
Abdominal pain in adults,Accompanied by,"Loose, watery stools"
Abdominal pain in adults,Accompanied by,Nausea or vomiting
Abdominal pain in adults,Accompanied by,Passing gas
Abdominal pain in adults,Accompanied by,Pulsing sensation near the navel
Abdominal pain in adults,Accompanied by,Rash
Abdominal pain in adults,Accompanied by,Stomach growling or rumbling
Abdominal pain in adults,Accompanied by,Unintended weight loss
Abdominal pain in adults,Accompanied by,Urgent need to have a bowel movement
Blood in stool in adults,Blood appears,In or on the stool
Blood in stool in adults,Blood appears,In toilet bowl or on toilet tissue
Blood in stool in adults,Triggered or worsened by,Drinking alcohol or caffeine
Blood in stool in adults,Triggered or worsened by,Eating certain foods
Blood in stool in adults,Triggered or worsened by,Straining during bowel movements
Blood in stool in adults,Relieved by,Drinking more water
Blood in stool in adults,Relieved by,Eating certain foods
Blood in stool in adults,Relieved by,Eating more fiber
Blood in stool in adults,Accompanied by,Abdominal pain or cramping
Blood in stool in adults,Accompanied by,Anal itching
Blood in stool in adults,Accompanied by,Change in bowel habits that lasts longer than four weeks
Blood in stool in adults,Accompanied by,Change in your bowel habits
Blood in stool in adults,Accompanied by,Constipation
Blood in stool in adults,Accompanied by,Diarrhea
Blood in stool in adults,Accompanied by,Fatigue or weakness
Blood in stool in adults,Accompanied by,Fever
Blood in stool in adults,Accompanied by,Frequent urge to have bowel movement
Blood in stool in adults,Accompanied by,Narrow stools
Blood in stool in adults,Accompanied by,Nausea or vomiting
Blood in stool in adults,Accompanied by,Painful bowel movements
Blood in stool in adults,Accompanied by,"Persistent abdominal discomfort, such as cramps, gas or pain"
Blood in stool in adults,Accompanied by,Rectal pain
Blood in stool in adults,Accompanied by,Unintended weight loss
Chest pain in adults,Pain best described as,Achy or gnawing
Chest pain in adults,Pain best described as,Burning
Chest pain in adults,Pain best described as,Severe
Chest pain in adults,Pain best described as,Sharp
Chest pain in adults,Pain best described as,Squeezing or pressure
Chest pain in adults,Pain best described as,Sudden
Chest pain in adults,Pain best described as,Tight
Chest pain in adults,Problem is,Ongoing or recurrent
Chest pain in adults,Problem is,Preceded by upper respiratory illness
Chest pain in adults,Triggered or worsened by,Allergens or irritants
Chest pain in adults,Triggered or worsened by,Eating or drinking
Chest pain in adults,Triggered or worsened by,Exertion
Chest pain in adults,Triggered or worsened by,Exposure to cold air
Chest pain in adults,Triggered or worsened by,Lying down for a long period
Chest pain in adults,Triggered or worsened by,Mild to moderate exertion
Chest pain in adults,Triggered or worsened by,Pressing on chest wall
Chest pain in adults,Triggered or worsened by,Smoking
Chest pain in adults,Triggered or worsened by,Stress
Chest pain in adults,Triggered or worsened by,Taking a deep breath
Chest pain in adults,Relieved by,Antacids
Chest pain in adults,Relieved by,Bending forward
Chest pain in adults,Relieved by,Rest
Chest pain in adults,Accompanied by,Anxiety
Chest pain in adults,Accompanied by,Belching
Chest pain in adults,Accompanied by,Cough with blood or phlegm
Chest pain in adults,Accompanied by,Difficult or painful swallowing
Chest pain in adults,Accompanied by,Dry cough
Chest pain in adults,Accompanied by,Fainting or dizziness
Chest pain in adults,Accompanied by,Fever
Chest pain in adults,Accompanied by,Headache
Chest pain in adults,Accompanied by,Nausea or vomiting
Chest pain in adults,Accompanied by,"Pain in neck, jaw, arms, shoulders or back"
Chest pain in adults,Accompanied by,Rapid or irregular heartbeat
Chest pain in adults,Accompanied by,Shortness of breath
Chest pain in adults,Accompanied by,Sweating
Chest pain in adults,Accompanied by,Unexplained fatigue
Chest pain in adults,Accompanied by,Wheezing
Constipation in adults,Blood appears,In or on the stool
Constipation in adults,Problem is,Ongoing or recurrent
Constipation in adults,Problem is,Recent
Constipation in adults,Problem is,Worsening or progressing
Constipation in adults,Accompanied by,Abdominal pain
Constipation in adults,Accompanied by,Anal or rectal pain
Constipation in adults,Accompanied by,Bloody stools
Constipation in adults,Accompanied by,Change in bowel habits that lasts longer than four weeks
Constipation in adults,Accompanied by,Constipation
Constipation in adults,Accompanied by,Cramping
Constipation in adults,Accompanied by,Diarrhea
Constipation in adults,Accompanied by,Fatigue or weakness
Constipation in adults,Accompanied by,Fever
Constipation in adults,Accompanied by,Gas
Constipation in adults,Accompanied by,Increased sensitivity to cold
Constipation in adults,Accompanied by,Mucus in stools
Constipation in adults,Accompanied by,Muscle or joint aches
Constipation in adults,Accompanied by,Muscle weakness
Constipation in adults,Accompanied by,Narrow stools
