Key,symptom,factor_group,factor,translation chinese,translation english,
abdominal pain,abdominal pain,NA,NA,请问你有腹痛吗？,Do you have abdominal pain?,
blood in stool,blood in stool,NA,NA,请问你有便血吗？,Do you have blood in your stool?,
chest pain,chest pain,NA,NA,请问你有胸痛吗,Do you have chest pain?,
constipation,constipation,NA,NA,请问你有便秘吗？,Do you have constipation?,
cough,cough,NA,NA,请问你咳嗽吗？,Do you have a cough?,
diarrhea,diarrhea,NA,NA,请问你腹泻吗？,Do you have diarrhea?,
difficulty swallowing,difficulty swallowing,NA,NA,请问你有吞咽困难吗？,Do you have difficulty swallowing?,
dizziness,dizziness,NA,NA,请问你眩晕吗？,Do you feel dizzy?,
eye discomfort and redness,eye discomfort and redness,NA,NA,请问你有眼部不适或者眼睛发红吗？,Do you have eye discomfort or red eyes?,
eye problems,eye problems,NA,NA,请问你是有视力问题吗？,Do you have vision problems?,
foot pain or ankle pain,foot pain or ankle pain,NA,NA,请问你有脚部或者脚踝疼痛吗？,Do you have foot or ankle pain?,
foot swelling or leg swelling,foot swelling or leg swelling,NA,NA,请问你有脚部或者四肢肿胀吗？,Do you have swelling in your feet or limbs?,
headaches,headaches,NA,NA,请问你有头疼吗？,Do you have a headache?,
heart palpitations,heart palpitations,NA,NA,请问你心悸吗？,Do you experience palpitations?,
hip pain,hip pain,NA,NA,请问你髋关节疼痛吗？,Do you have hip joint pain?,
knee pain,knee pain,NA,NA,请问你有膝盖疼痛吗？,Do you have knee pain?,
low back pain,low back pain,NA,NA,请问你有下背部疼痛吗？,Do you have lower back pain?,
nasal congestion,nasal congestion,NA,NA,请问你有鼻塞吗？,Do you have nasal congestion?,
nausea or vomiting,nausea or vomiting,NA,NA,请问你有恶心想吐的感觉吗？,Do you feel nauseous or like vomiting?,
neck pain,neck pain,NA,NA,请问你脖子疼吗？,Does your neck hurt?,
numbness or tingling in hands,numbness or tingling in hands,NA,NA,请问你有四肢麻木或者刺痛的感觉吗 ？,Do you have numbness or a tingling sensation in your limbs?,
pelvic pain in adult females,pelvic pain in adult females,NA,NA,请问你是女性且有骨盆疼痛吗？,Are you a female with pelvic pain?,
pelvic pain in adult males,pelvic pain in adult males,NA,NA,请问你是男性且有骨盆疼痛吗？,Are you a male with pelvic pain?,
shortness of breath,shortness of breath,NA,NA,请问你有喘不过气的感觉吗？,Do you feel short of breath?,
shoulder pain,shoulder pain,NA,NA,请问你肩膀疼痛吗？,Do you have shoulder pain?,
sore throat,sore throat,NA,NA,请问你喉咙痛吗？,Do you have a sore throat?,
urinary problems,urinary problems,NA,NA,请问你有泌尿问题吗？,Do you have urinary problems?,
wheezing,wheezing,NA,NA,请问你有喘息（哮喘）吗？,Do you have wheezing (asthma)?,
